詞目id,義項id,詞性,解說
5629,7868,熟語,茶來伸手，飯來張口。形容人只知生活的享受，卻不知享受的條件來自別人勞動的辛苦。
5632,7871,熟語,欺軟怕硬、欺善怕惡。
5670,7914,熟語,風雨及時而適量。比喻豐年安樂的景象。
5673,7917,熟語,膨餅，是一種傳統的小吃甜食。其音為phòng-piánn，與華語「碰壁」的臺灣閩南語讀音phòng piah非常近似。因此，「食膨餅」的意思就是兼取華語「碰壁」之意。
5678,7923,熟語,上班、就業。
5682,7930,熟語,捕風捉影。一點點兒的小事被誇張得很大。
5827,8130,熟語,罵人如喪父喪母般吵吵嚷嚷、鬼吼鬼叫、呼天搶地。
5833,8137,熟語,睡覺的通俗說法，常用在哄小孩子睡覺的時候。
5941,8300,熟語,頭臉都覆蓋住。比喻呆頭呆腦、不知死活。
6029,8434,熟語,無時無刻。
6054,8465,熟語,意外、意想不到。
6171,8638,熟語,氣憤填膺。形容極度生氣，滿懷憤恨。
6247,8735,熟語,亂來、瞎搞。
6256,8745,熟語,消除災禍、解掉災難。
6312,8812,熟語,消瘦、面黃肌瘦。
6316,8816,熟語,指人不精細分明、過於草率，喜歡胡說八道。
6471,9030,熟語,笑逐顏開、眉開眼笑。形容心中非常高興，連臉上都充滿著歡喜的神情。
6638,9234,熟語,無法收拾。
6648,9246,熟語,無法事先預料或打算。
6650,9248,熟語,茶飯不思、寢食難安。形容情緒或者精神不佳，吃不下飯，睡不著。
6654,9252,熟語,無以為生。沒有辦法維持生計。
6654,9253,熟語,過不去。
6654,9254,熟語,過意不去。
6662,9262,熟語,好比說、好像說。
6663,9263,熟語,說不得，不能說。無法接受別人的規勸，或是事情有禁忌，不能說。語氣完結時唸作bē-kóng--tit。
6663,9264,熟語,沒話說，非常的，難以言喻的。語氣完結時唸作bē-kóng--tit。
6664,9265,熟語,通常指經過言詞勸說之後，仍無法改變對方的態度或想法。
6691,9317,熟語,不爽、不高興。
6693,9319,熟語,情緒好、心情好。「起毛」是日語外來語素，加上表示「爽快」的「婸」。
6704,9331,熟語,那有這種道理。通常用來表示憤怒。
6761,9396,熟語,動手動腳。常指兩方因為爭執不下而爆發肢體衝突。
6782,9419,熟語,起藥布疹。指貼膏藥過後引發皮膚的發炎紅腫。
6827,9501,熟語,單挑、一對一。雙方都是一人出戰。
6857,9536,熟語,把兩個東西裝配在一起。
6928,9634,熟語,不依照生產或工程所規定的質量要求，而削減工序或用料。也比喻做事取巧。
6938,9644,熟語,假惺惺、佯裝。
6951,9660,熟語,假好心、貓哭耗子假慈悲。
6954,9664,熟語,裝瘋賣傻。故意裝成痴呆瘋癲的樣子。 
6958,9668,熟語,私下交往、秘密往來。
6962,9672,熟語,紅杏出牆。指已婚婦女與其他男子有不正常的交往關係。
6972,9684,熟語,裝神弄鬼、裝模作樣。
7117,9873,熟語,娶媳婦。
7246,10056,熟語,疼惜有加、十分珍惜。
7277,10090,熟語,指在軍隊中，士兵站崗護衛。
7277,10091,熟語,比喻男生在女生住處門口苦候。
7336,10209,熟語,使眼色。
7337,10210,熟語,抓替死鬼。在民俗信仰上，相傳人意外身亡之後，魂魄會留在原地，只要有人在原地區以相同方式死亡，自己便能被取代而投胎轉世，故冤魂為了抓取他人魂魄，便害人致死。
7343,10217,熟語,剔除泥腸。烹飪之前將蝦子背上蝦肉裡的泥腸剔掉，會比較乾淨好吃。
7348,10223,熟語,抓兔子、嘔吐。因為嘔吐是不舒服的感覺，所以用與「吐」諧音的「兔」來委婉地表達。
7349,10224,熟語,採取橫向。
7355,10232,熟語,取長補短、截長補短。取有餘以補不足。
7386,10267,熟語,不得要領、抓不到頭緒。
7414,10300,熟語,顧此失彼。注意這個卻忽略了那個。指不能全面兼顧。
7483,10394,熟語,死去活來、尋死覓活。形容非常痛苦或悲傷，要死不要活的樣子。
7484,10395,熟語,幹嘛、做什麼。帶有疑問的口氣。
7562,10506,熟語,添福添壽。
7562,10507,熟語,逢年有閏月時，出嫁的女兒應送母親一樣禮物，為母親去災解禍，稱為「添福壽」或「添壽」，母親則以湯圓、花生等吉祥物回禮，是臺灣民間的一種習俗。
7655,10640,熟語,甜美動人的言語。
7764,10780,熟語,家常便飯、粗茶淡飯。多為請客時自謙的說法。
7969,11055,熟語,得寸進尺。軟的泥土比較容易挖掘，用來比喻老實人或讓步者容易被欺負。
8017,11133,熟語,民間傳說，也是歌仔戲著名戲目。泉州陳三在燈會中邂逅潮州黃五娘，一見鍾情，五娘以荔枝為信，陳三假扮磨鏡師，故意弄破寶鏡賣身黃家，但五娘已許婚給紈絝子弟林大，卻在丫鬟益春的協助下私奔，經過一番波折，二人終成眷屬。又名「荔鏡記」。
8195,11351,熟語,指信仰佛道的善心男女。
8222,11380,熟語,哭哭啼啼、哭泣不止。
8237,11396,熟語,坐享其成。原意為收割稻子，引申為罵人不勞而獲。
8362,11558,熟語,參加其中一部分。
8388,11587,熟語,插話、插嘴。別人講話時，從中插進去說話。
8432,11653,熟語,難道不是嗎？可不是嗎？
8435,11656,熟語,豈有、哪有。
8573,11838,熟語,不一定、不確定。
8574,11839,熟語,白費時間，永無終止。
8578,11844,熟語,沒大沒小、沒禮貌。
8582,11849,熟語,沒有天理。通常用在感嘆人事不公。
8588,11856,熟語,沒事、沒怎樣。通常用在說人反應過度或做了多餘、不該做的事。
8592,11861,熟語,不得已、沒有辦法怎麼樣。
8597,11866,熟語,不要緊、沒關係。通常用於表示還有更糟的事情。
8602,11871,熟語,昧著良心、沒良心。
8603,11872,熟語,喻沒有用、不中用。
8604,11873,熟語,無依無靠。
8606,11876,熟語,不得已、無可奈何、沒有辦法。
8607,11877,熟語,無可奈何、不得已。
8610,11881,熟語,不要緊、沒關係。
8611,11882,熟語,拿他沒辦法、奈何不了他。
8612,11883,熟語,沒辦法、沒能力。
8612,11884,熟語,表示無可奈何。
8613,11885,熟語,沒有法紀天理。形容人明目張膽，無所忌憚。
8618,11891,熟語,單身、沒有家累。指一個人沒有妻子兒女。
8622,11896,熟語,無所謂、無關緊要。形容人做事懶散、不用心，沒什麼責任感。
8623,11897,熟語,不要緊、沒關係。
8635,11910,熟語,沒什麼、沒關係。表示不在乎、無所謂的態度。
8637,11912,熟語,沒什麼。
8652,11932,熟語,不夠意思。通常用在說人對朋友沒義氣，或對他人的言行感到不滿。
8658,11940,熟語,沒日沒夜、夜以繼日。形容人對事情太投入，不管白天或晚上都不休息。
8667,11950,熟語,子虛烏有、毫無根據。
8672,11956,熟語,沒錯，用來強調完全正確。
8678,11962,熟語,不動聲色、不聲不響。
8679,11963,熟語,不言不語、不動聲色、不聲不響。形容人不出聲音或無預警地就做出動作反應。
8682,11966,熟語,無妨、無礙。沒有什麼差別，不會受到影響。語氣完結時唸作bô-gāi--tio̍h。
8716,12014,熟語,筋骨或肌肉酸痛、抽痛。
8788,12108,熟語,硬碰硬。用強力對付強力。
9018,12397,熟語,失竊、遭小偷。
9069,12466,熟語,漁民打魚時看潮汐漲落行事。比喻做事適時或趕上需要。
9077,12477,熟語,指很麻煩、費力氣的意思。
9319,12814,熟語,傳宗接代。
9325,12821,熟語,敗壞社會風俗習慣。
9337,12833,熟語,因事情麻煩不易解決而煩惱。
9419,12931,熟語,盪鞦韆。
9442,12967,熟語,胡思亂想。想這個想那個。
9443,12968,熟語,計畫性地想盡各種辦法去做壞事。
9499,13057,熟語,哄騙、唬弄。用虛誇不實的言語哄騙。
9508,13068,熟語,指做事情膚淺不深入，或只是短暫停留，就像沾醬油一樣。
9514,13075,熟語,把屎把尿，形容照顧的辛勞。
9541,13106,熟語,拉拉扯扯。一方抓住不放，另一方想奮力掙脫。
9577,13169,熟語,塞手縫。指東西很少，不能讓人滿足。
9723,13348,熟語,按部就班。照一定的條理順序處理事情。
9724,13349,熟語,依約行事。依照之前說好的來進行。
9766,13396,熟語,大白天。特別強調說話的當時為白天。
9767,13397,熟語,當面、面對面。
9870,13570,熟語,落人口實。即遭受他人的批評。
9890,13596,熟語,結婚後的第三天，新娘的兄弟前來男方家，探望新婦嫁後的起居情況，而男方家須以禮款待。
9909,13620,熟語,肚子餓。
9917,13629,熟語,白走一趟。
9917,13630,熟語,由空車去一趟行程。
9949,13668,熟語,指事情非常周全，絕不會出差錯。
10016,13757,熟語,試試看。
10032,13777,熟語,裝傻搞笑，將人當瘋子一樣耍弄。
10074,13833,熟語,細皮嫩肉、玉手纖纖。
10083,13845,熟語,毛手毛腳、動手動腳。
10115,13885,熟語,氣到直跺腳。
10182,13995,熟語,較容易。
10182,13996,熟語,快一點。
10315,14171,熟語,金屋藏嬌、包養女人、包二奶。
10324,14180,熟語,用力捶桌子、椅子，表示強烈的抗議、反對。
10391,14258,熟語,也是。
10396,14264,熟語,難做。
10397,14265,熟語,也要。
10402,14270,熟語,滴滴答答滴個不停。
10406,14275,熟語,難說、不好講。
10510,14424,熟語,慢走。對即將離開的人所說的客套話。
10520,14435,熟語,慢慢來。安撫人的話語，叫人別著急。
10554,14478,熟語,摸不著門路，不知從何下手。
10578,14508,熟語,處處、遍地。到處都是。
10586,14516,熟語,屁滾尿流。
10596,14527,熟語,到處、處處。
10641,14582,熟語,端架子。刻意抬高自己的身分，傲慢的對待別人。
10717,14692,熟語,不管他、不理會他。
10724,14702,熟語,划不來。不合算、不值得。
10730,14708,熟語,不划算、划不來。
10754,14737,熟語,私奔。通常指女子未經家長同意即私自歸屬所愛的人，或相偕遠走。
10759,14742,熟語,死心塌地，堅持到底。
10762,14745,熟語,事緩則圓、急事緩辦、欲速則不達。勸人不要心急，再緊急的事都要慢慢來。
