詞目id,義項id,詞性,解說
3848,5378,名詞,人或事的根源、內情、背景。
3850,5380,名詞,政治界。
3850,5381,名詞,官員、官吏階層的生活世界。
3851,5382,名詞,預定或固定的日期或期限。
3855,5388,名詞,時節。四季和二十四節氣的合稱。一年中，依據具有某種特點而區分出來的時期，共有春、夏、秋、冬四季和二十四節氣。
3857,5390,名詞,根蒂。根本，基礎。
3858,5391,名詞,店名。商店的名稱。
3859,5392,名詞,國語的舊稱。
3859,5393,名詞,官場中通用的語言。
3860,5394,名詞,好運氣。
3861,5395,名詞,原意指官員、官吏。
3861,5396,名詞,引申為作威作福的官吏。
3863,5399,名詞,訂金。訂購物品時所預付的部分金額。
3864,5400,名詞,商家所定的貨品價格。
3867,5403,名詞,同一個祖先，有血緣關係的親族。
3867,5404,名詞,相同姓氏或稱同祖先但不同姓氏者，不一定有血緣關係，亦稱為宗親，如張、廖、簡等稱「六桂宗親」。
3868,5405,名詞,商店、店面。
3869,5406,名詞,店主、店東、老闆。
3870,5407,名詞,官員、官吏的職務、職位、等級。
3871,5408,名詞,天干的第七位。
3871,5409,名詞,指年齡、年歲。
3872,5410,名詞,天干的第七位。
3872,5411,名詞,指年齡、年歲。
3873,5412,名詞,處理國家事務的機關或者官員辦公的地方。
3873,5413,名詞,尊稱別人的住宅。
3873,5414,名詞,臺南市的舊稱，府城的簡稱。
3880,5425,名詞,竭盡心力、真誠無私的美德。
3881,5427,名詞,看法。
3881,5428,名詞,思念、掛念。
3883,5431,名詞,人或物天生自然所擁有的本質。
3883,5432,名詞,事物所具有的特質和功能。
3883,5433,名詞,生物的種別或是事物的類別。
3883,5434,名詞,指性情、脾氣。
3883,5435,名詞,範圍、方式。
3883,5436,名詞,與兩性親密行為相關聯的事情。
3889,5446,名詞,怪人。在思想或言行舉止有特異之處的人。
3892,5449,名詞,挖土機。可挖掘砂土或岩石的機械的總稱。通常也可進行堆積或短距離搬運等作業。
3893,5450,名詞,農家用來舀水的器具，形狀略似斗狀。
3893,5451,名詞,下排齒比上排齒突出的嘴形。俗稱「地包天」。
3895,5454,名詞,指下巴長又向外突出的人。
3898,5457,名詞,來回的。
3900,5459,名詞,脾氣、性情。
3901,5460,名詞,水瓢、杓子。用來舀水的長柄器具，略似斗狀。
3902,5461,名詞,稀奇古怪的事。
3904,5463,名詞,生命。
3911,5471,名詞,古時候比縣高一級的地方政府所在地。
3911,5472,名詞,臺南市的舊稱。清朝臺灣府設在現今的臺南市。因為臺南市具有文化古都的地位，現今仍有人沿用舊稱。
3914,5475,名詞,特性、性情品格。
3915,5477,名詞,佛珠、數珠。持誦、念咒時用來集中心神和計算次數的珠串。
3926,5490,名詞,本質、特質。個人與生俱來的特性、氣質。
3932,5497,名詞,一個人的個性、癖好。
3933,5498,名詞,與眾不同的習慣或癖好。
3934,5499,名詞,房間。
3934,5500,名詞,宗族的分支、分家。
3935,5501,名詞,房間。
3936,5502,名詞,處所、場地。
3936,5503,名詞,機關單位。
3940,5513,名詞,曬東西所用的扁平竹編用具。
3946,5538,名詞,刷子。
3952,5556,名詞,經過加工製造而成的絨狀或碎末狀食品。
3957,5581,名詞,音樂的節拍。
3963,5593,名詞,穿鞋的用具。
3967,5608,名詞,功夫的技法。
3973,5634,名詞,灰匙、抹子。泥水匠塗抹水泥時所用的工具。
3980,5641,名詞,打手、保鑣。受人僱用，幫人打架的人。
3986,5649,名詞,一種民俗，源於佛教。中國佛教徒於農曆七月十五日舉行盂蘭盆會，普施一切餓鬼。民間以放水燈通知水中鬼魂和餓鬼，來接受拖捨。水燈一般都以色紙作成蓮花形。在臺灣是用竹條和紙糊製，有圓形燈或小屋形的紙厝。在普渡的前一天，由僧人或道士引導遊行，持圓形燈在前頭，拿紙厝在最後。行至河邊將燈置在水燈筏上，放入水中，稱為「放水燈」。
3989,5652,名詞,寬而平的竹編用具。
3990,5653,名詞,刷子。
3996,5659,名詞,石匠、石工。將石塊製成器物的技術工作者。
4001,5666,名詞,地方。
4003,5669,名詞,接生婆。
4007,5674,名詞, 拾荒的人。
4008,5675,名詞,打字機。用手指控制文字、符號等按鍵，打印出文字或符號的機器。
4011,5678,名詞,肉刺、指甲刺。指甲周圍的角質因為乾裂而翹起來。
4017,5686,名詞,豆類。可採食，也可榨油。多分布在印度東部和埃及，臺灣各地也常可見到零星栽培。因為食用過後，會使人放屁，所以在南部又叫「放屁豆仔」。
4039,5712,名詞,養子女。抱養的子女，不是親生的子女。
4047,5720,名詞,房子、屋子。
4055,5729,名詞,茼蒿。植物名。菊科茼蒿屬，一年生草本。高至70公分，葉互生，邊緣有不規則羽狀分裂。頭狀花序，花黃色或白色。嫩莖及葉可食，為臺灣地區冬季盛產蔬菜之一。一般常用來搭配火鍋或鹹湯圓，由於莖葉的水分多，煮過後會大量失水，只剩一點點，會讓丈夫誤以為被妻子吃掉，所以舊時又稱之為「拍某菜」。
4058,5732,名詞,撿紅點， 一種樸克牌玩牌的方式。
4083,5763,名詞,廣播。一種利用音波和電波傳達訊息的大眾傳播媒介，或特指廣播節目。源自日語。
4086,5766,名詞,泛指資財收入。
4087,5767,名詞,政府向個人或企業依他們的收入比例所課徵的稅。
4088,5768,名詞,水桶。
4103,5784,名詞,掛在商店外面作為市招的看板。
4112,5795,名詞,費用、花費。 
4113,5796,名詞,房子裡面的隔間(客廳、廚房及衛浴除外)。
4132,5822,名詞,計畫。
4153,5847,名詞,舊時宗族的各分系。
4155,5850,名詞,砍伐樹木竹子、劈削木材的工具。
4156,5851,名詞,嵌進斧頭鐵框內的鐵楔子，將鐵塊與木柄套緊，使得斧頭牢靠不脫落。
4156,5852,名詞,一種海中的貝類。
4171,5871,名詞,打鐵匠。以打造鐵器為職業的人。
4172,5872,名詞,牛仔褲。早期美國西部移民者所穿的工作服。用帳篷布縫製而成，質地堅韌，不易磨損。
4184,5885,名詞,衣服的總稱。
4185,5891,名詞,扁平狀的碎片。
4186,5892,名詞,盛置水、酒、飲料的容器。
4186,5894,名詞,杯形的錦標。
4188,5898,名詞,主人。
4189,5900,名詞,片狀的木料或似片狀的物體。
4189,5902,名詞,音樂的節拍。
4189,5903,名詞,指棺材。
4191,5906,名詞,木板。
4191,5907,名詞,似板狀的物體。
4192,5909,名詞,眾所聚皆稱「林」，猶如稱「界」。
4192,5910,名詞,姓氏。
4193,5911,名詞,很多樹集聚而成。
4194,5912,名詞,樹木的果實。
4194,5913,名詞,事情的結束、完結。
4195,5915,名詞,樹椏，樹幹從旁生出的枝條。
4196,5917,名詞,水果。
4197,5918,名詞,果子貍、白鼻心。哺乳動物。食肉目靈貓科，夜行性動物，體色為黃、灰褐色，頭部色較黑，額頭至鼻樑有一條明顯的白色毛。棲息地以闊葉林為主，擅長爬樹，喜歡採食多汁的果類植物，屬於雜食性動物。
4198,5919,名詞,果園。
4199,5920,名詞,友人的通稱。
4201,5922,名詞,杯子。
4202,5923,名詞,棺材。
4203,5924,名詞,薄而平的板子，通常指木板。
4205,5926,名詞,冰棒。在模型中倒入果汁、糖水、紅豆湯或牛奶，並插入竹枝或木條，放置在冰箱中凍結而成的棒狀冰品。
4214,5936,名詞,植物名。露兜樹科露兜樹屬，常綠灌木或小喬木。樹高約二丈，樹幹基部會長出粗大的氣根，氣根入地，就會變成具有支持作用的支柱根。葉子叢生在枝幹的末梢，葉片細長而且尖、帶刺。因為很耐風沙，所以多栽植於濱海地區。材質適合做大廣絃。
4215,5937,名詞,林投姊。臺灣民間故事，描述一位女子被丈夫拋棄後，在林投樹上上吊自殺，變成冤魂報仇的故事。
4218,5941,名詞,冤屈。遭受汙衊或迫害。
4220,5943,名詞,瓜果類。葉子與果實都呈現橢圓形，略似琵琶，果實可以食用，葉子和核可以入藥。
4222,5945,名詞,一般指的是演藝界出眾的人物，也泛指某些行業傑出者。
4223,5946,名詞,亞洲。
4223,5947,名詞,日本。從清代以來到近代對日本的稱呼。
4224,5948,名詞,春風。春天所吹的風。
4224,5949,名詞,從東邊吹過來的風。
4224,5950,名詞,亞洲人、東方人的價值觀或流行風潮；相對於歐洲、美洲人、西方人的價值觀或流行風潮而言。
4227,5953,名詞,海洋名。位於長江口以南、臺灣海峽以北，臺灣、福建、浙江、江蘇南部都濱臨這個海域。
4228,5954,名詞,蕈菇類。散發獨特的香味，日本人嗜食。被視為珍貴的食材。又稱「洋菇」。
4231,5959,名詞,分隔房間的木板牆壁。
4233,5961,名詞,檜木。木本植物。高約二十公尺，樹幹挺直，葉形小，鱗片狀，花單性，雌雄同株，實為球果。葉可入藥，木材很貴重，是高級的木料，可供建築、家具、造船、雕刻以及栽培盆景以觀賞，用途甚廣。
4237,5965,名詞,番石榴、芭樂。瓜果類。葉對生，花白色，可以食用，富含維生素C。
4239,5967,名詞,書名。其內容最早只是記載大自然、天文和氣象等的變化，提供給古代帝王作為施政之用，百姓用為占卜事象。至孔子作傳，始為哲理的書，是儒家的重要典籍。
4240,5968,名詞,衣服、鞋、帽的總稱。
4241,5969,名詞,板油。豬的體腔內壁呈板狀的脂肪。
4242,5970,名詞,音樂的節拍。
4243,5971,名詞,灌水泥牆壁時，預先用木板所釘好的模版。
4244,5972,名詞,松香、松脂。
4245,5973,名詞,枕頭套。包裹枕頭的布套。
4249,5977,名詞,指軍事、暴力、戰鬥。
4249,5978,名詞,指武功。
4251,5981,名詞,液體表面出現的小泡沫。
4253,5984,名詞,流水、水道的通稱。
4253,5985,名詞,像河一樣的物體。
4254,5986,名詞,動植物中所含的脂肪製造出來的液體。
4254,5987,名詞,調味用的醬料。
4254,5989,名詞,比喻為利益、好處。
4254,5990,名詞,身上某些部分分泌出的油脂。
4254,5991,名詞,化妝品或保養品。
4254,5992,名詞,石油。
4257,6002,名詞,輩份。
4262,6008,名詞,米湯。
4263,6010,名詞,辦法、本事。
4263,6011,名詞,方式、手段。
4263,6012,名詞,法規。
4263,6013,名詞,道教的方術。
4263,6014,名詞,佛教修行的路徑。
4263,6015,名詞,國家名。
4264,6016,名詞,指因為宗教信仰而修煉出的神奇力量。
4265,6017,名詞,原意為東西的精華，比喻作可以沾潤的利益、好處。
4267,6019,名詞,立法之後由國家所頒布的法律和命令。
4268,6020,名詞,從事外送、大宗買賣，主動開發客源的商行。
4269,6021,名詞,指傳統戲曲中擅長武打的男性角色。
4270,6022,名詞,指國家社會秩序的安寧。
4271,6023,名詞,早期臺灣榨油的工具。
4272,6024,名詞,榨製食用油如花生油、麻油的廠房。
4273,6025,名詞,依法擔任審判工作，代表國家行使審判權的官員。
4274,6026,名詞,用來提取油的管狀器具。
4278,6030,名詞,附著在物體表面的油汙髒垢。
4279,6031,名詞,方法、辦法。
4279,6032,名詞,規矩、法則。
4280,6033,名詞,經由立法而產生的法令與法規。
4283,6036,名詞,油條。用高筋麵粉加上發粉、鹽，和好之後，再把麵條切成小條，將兩個小條疊壓拉長之後放入油鍋炸。可直接食用、或拿來包在燒餅裡面。
4284,6037,名詞,道士。精通道法，可傳授或為人進行法事的道士。
4284,6038,名詞,出家人。精通佛法，善說佛法並致力修行傳法的出家人。
4285,6039,名詞,靠近海邊的地區。
4287,6041,名詞,經桐油浸泡的紙，具有防水功能。高雄美濃地區用來製造紙雨傘，很出名。
4288,6042,名詞,泛指江湖術士的奇門遁甲、道士的符籙咒秘等術。
4289,6043,名詞,薔薇帶鰆。魚類。體型長而扁，背部及腹部的輪廓則略成弧形，因為油脂多，所以一般人多稱此種魚類為油魚，魚卵在加工後製成油魚子則是屏東東港地區的三寶(黑鮪魚、櫻花蝦、油魚子)之一。
4290,6044,名詞,執行死刑的場地。
4291,6045,名詞,在廚房中用來裝油的罐子。
4292,6046,名詞,草本植物。根際葉大，呈倒卵形，邊緣有缺刻。夏季開黃花，果實為長角，圓柱形，種子可榨油，供食用或工業用。嫩葉部分可以作蔬菜。
4293,6047,名詞,用糯米做成的一種乾飯，把糯米蒸熟，再攪拌蝦米、肉絲、豬油、香菇、油蔥等配料。一般是在年節、小孩彌月來備辦請客食用，目前一般傳統市場經常買得到，是很受歡迎的一種小吃。
4294,6048,名詞,銀河。在天空中相連如帶的星群。
4295,6049,名詞,油渣。沉積在油的底部的渣滓。
4300,6055,名詞,倒油進瓶子時，裝在瓶口使油不致溢出的漏斗。
4301,6056,名詞,一種作料。用熱油把剁碎的紅蔥頭爆香而成。
4302,6057,名詞,加了油蔥一起蒸製的粿類米食。
4304,6059,名詞,可以殺傷敵人，發揮攻擊力的器械。
4306,6061,名詞,稀飯。指飯粒很稀疏，米湯很多的稀飯。
4307,6062,名詞,油腥。較為油膩葷腥的食物。
4308,6063,名詞,偵查因意外、傷害、殺害的命案，或其他有關法律所需要的專業醫師或醫務人員。
4309,6064,名詞,武功技藝。
4310,6065,名詞,內含液體的球狀物。
4312,6068,名詞,在水面上漂浮的球狀或半球形氣體。
4312,6069,名詞,唾液、口沫。
4314,6071,名詞,水面起伏的部分。
4314,6072,名詞,物理學中彈性振動的起伏現象。
4316,6075,名詞,賭注。
4318,6079,名詞,全身或局部因感染而產生發紅、腫脹或疼痛等症狀。
4323,6084,名詞,爸、爹。稱謂。子女對父親當面的稱呼。
4324,6085,名詞,父、爹。稱謂。子女提到父親的表述。
4325,6086,名詞,印刷所用的版本樣式，上面已有拼組或刻鑄著既定的文字或圖形。
4325,6087,名詞,報紙或雜誌的單面。
4325,6089,名詞,書籍版本的稱簡。
4326,6090,名詞,存在於天地間一切人、事、物的通稱。
4327,6091,名詞,存在於天地間一切人、事、物的通稱。
4328,6092,名詞,敘述事實的文章。現通稱打官司的呈文。
4328,6093,名詞,獎勵或證明用的文書。
4329,6094,名詞,常見家畜的一種。嗅覺和聽覺很靈敏，可訓練來追蹤、守衛、導盲、救生或飼養為寵物，且性情忠誠，被喻為人類的朋友。
4330,6095,名詞,蝦虎魚。魚類。屬鱸魚的一種，為淡水魚，活動於淺水岩石間，因體輕，魚腹有吸盤可吸附在石頭上，以避免被激流沖走。
4331,6096,名詞,榜首。稱現在各類考試中的第一名。
4331,6097,名詞,中國古代科舉制度中，殿試第一名者稱「狀元」。
4332,6098,名詞,公狗。
4333,6099,名詞,指胸肌發達、腰圍收束的腰。一般用來形容男人。
4335,6101,名詞,蒸籠。一種用來蒸熟米飯的桶形蒸具，一般用竹片、木片等製成。
4336,6102,名詞,犬齒。
4337,6103,名詞,小狗。
4338,6104,名詞,父母。稱謂。父親與母親。
4339,6105,名詞,母狗。
4340,6106,名詞,魚名。狗母魚科。活動於沿岸沙泥海域，有時會進入河口，因肉質較差，刺又多，常用來做成魚鬆等加工品。
4341,6107,名詞,沙鍋。用陶土和沙子燒製成的鍋子。通常用來燉東西或煎藥。
4342,6108,名詞,將視線集聚在同一處注視。
4343,6110,名詞,東西。
4344,6112,名詞,用慢火長時間燉煮的肉類。
4346,6114,名詞,將白飯配上一些當令的菜餚，再加上一塊用滷料燉煮過的五花肉，為臺灣常見的飯。
4347,6115,名詞,蒸籠。用來炊蒸食物的竹製或木製用具。
4348,6116,名詞,狗窩、狗欄。
4349,6117,名詞,狗洞。牆壁間可供狗出入的洞口。
4351,6119,名詞,食物。
4353,6121,名詞,基督教的傳教士。
4354,6122,名詞,哺乳動物。本指狐和狸兩種動物，後多用來專指狐。狐形體像狗卻略為瘦小，毛呈赤黃色，尾巴長，遇到敵人能放出惡臭。因為生性狡猾多疑，所以多用來比喻狡詐而且作惡多端的壞人。
4355,6123,名詞,俗稱修煉成精，能幻化成人形的狐狸。常比喻作妖冶放蕩會魅惑男人的女子。
4357,6125,名詞,配菜，吃飯時的下飯菜。
4358,6126,名詞,指萬事萬物最基本的道理。
4358,6127,名詞,研究物質的性質、狀態、運動等變化的學科。
4359,6128,名詞,飼養牲畜的地方。
4363,6132,名詞,物品的價格。
4365,6134,名詞,狗蝨、蝨子。昆蟲名。寄生在狗身上的蝨子，體型極小，會吸取狗身上的血液為生，造成身體發癢。
4367,6136,名詞,螞蟻。昆蟲名。身體小而長，全身呈黑或褐色，腹部為卵形，頭大，有觸角和一對複眼。一般行集團社會生活，有蟻后、工蟻、兵蟻之分。
4368,6137,名詞,用來防止螞蟻爬上菜櫥的碟狀器具。四周有凹槽可裝水，櫥腳放在碟中央平高處。
4369,6138,名詞,速食麵、方便麵。一種速食食品。用熱水沖泡即可食用。
4375,6154,名詞,舊時的職官名。
4376,6155,名詞,瓶子。
4377,6157,名詞,公共聚落。
4377,6158,名詞,部落。
4377,6159,名詞,為工作、生活或共同目標結合成的組織、團體。
4377,6160,名詞,泛指公司行號。
4379,6162,名詞,縫隙、孔洞。
4379,6163,名詞,引申為好處、賺頭、利益。
4379,6164,名詞,引申為花樣、陷阱。
4383,6172,名詞,瓶子。指的是瓶口較小，瓶頸長且窄，瓶身較大的容器。
4384,6173,名詞,沒有加以利用或空無所有的地。
4388,6177,名詞,空的房間。
4388,6178,名詞,空閨。指丈夫不在的房間。
4391,6184,名詞,空房間。
4394,6187,名詞,傷口。指身體上因受傷而破裂的地方。
4397,6191,名詞,空頭支票。簽發支票的存款戶，其銀行的存款額或約定的透支額，不敷支票所載的金額，而遭銀行退票的支票。
4398,6192,名詞,上下及左右四方，即物體存在、活動的地方。
4398,6193,名詞,無形的境界。
4399,6194,名詞,由人所形成的集合體。
4399,6195,名詞,某一階級或某些範圍的人所形成的集合體。其組合分子具有一定關係，依此關係，彼此合作以達到一定的目的。
4401,6197,名詞,大腸的上段，在人體腹腔右邊，為食物由小腸進入大腸的門戶。
4403,6199,名詞,病名。由闌尾炎引起，蔓延到整個盲腸，就成盲腸炎。
4405,6201,名詞,榫。建築或機械上用凹凸相入接合兩件材料，其中凸的部分即為榫頭，即「榫」；凹的部分為榫眼，即「空」
4406,6202,名詞,花名。莖幹上生有尖刺，葉子的形狀呈橢圓形或是倒卵形，邊緣有鋸齒，花色有紅、白、黃等許多不同的顏色。
4410,6207,名詞,村落。鄉民居住聚集的地方。原指平埔族聚落，謂之「番社」(huan-siā)，今臺灣各地有許多以社為名的地名，如「東社」(tang-siā)、「西社」(sai-siā)、「社頭」(siā-thâu)、「社口」(siā-kháu)等，均與番社有關。
4410,6208,名詞,地名。在彰化縣境內，當地以蕭為大姓，所以當地有句諺語「社頭蕭了了」(Siā-thâu Siau--liáu-liáu)，表示社頭姓蕭的很多。
4411,6209,名詞,花樣、名堂。不存善意的念頭或手段。
4412,6211,名詞,空隙、孔穴。
4412,6212,名詞,指把柄、漏洞或錯誤。
4416,6216,名詞,山羌。哺乳動物。全身披褐色短毛，雄羌頭上長角，形體大小和吠聲皆與狗相似，行動隱密敏捷，常出沒在清晨和傍晚的山地密林裡，以野菜、鮮草和嫩葉為食。
4418,6218,名詞,手臂上半部。
4418,6219,名詞,鳥類翅膀的上肢部分。
4418,6220,名詞,合資的公司將資本平分為若干份，每一份稱為一股，可以在票券上載明。
4419,6223,名詞,人或動物的手腳。
4420,6228,名詞,水肥。
4420,6229,名詞,植物或農地的營養劑，早期多用糞便，現代有化學合成品。
4422,6232,名詞,動物呼吸器官之一，位於胸腔，分左右兩扇，左二葉，右三葉。
4425,6235,名詞,顯花植物的生殖器官，多具有鮮豔的顏色和芳香的氣味。
4426,6238,名詞,顯花植物的生殖器官，多具有鮮豔的顏色和芳香的氣味。
4426,6244,名詞,繁複的動作、行為。
4426,6245,名詞,花紋或花樣。
4426,6247,名詞,沒有實在意義的言行
4427,6249,名詞,有香味的東西、食物。
4428,6250,名詞,香水。一種把香料溶在酒精裡做成的化妝品。
4429,6251,名詞,山羌。哺乳動物。全身披褐色短毛，雄羌頭上長角，形體大小和吠聲皆與狗相似，行動隱密敏捷，常出沒在清晨和傍晚的山地密林裡，以野菜、鮮草和嫩葉為食。
4430,6252,名詞,花布。印有各種圖案花樣的布料。
4431,6253,名詞,股份公司用發行股票方式組成的資本，也指合夥經營工商事業的資本或資金。
4433,6255,名詞,傳統戲曲腳色行當之一。大多飾演活潑或輕浮的女子，扮相豔麗，表情生動，偏重身段動作與唱工口白的表現。
4434,6256,名詞,香瓜。瓜果類。一年生蔓生草本，原產於熱帶地方的印度和非洲一帶，可以食用。因為果實帶有香氣，所以稱「芳瓜」。
4436,6258,名詞,多脂肪質的肉類。
4436,6259,名詞,比喻有利可圖的人、事或物。
4438,6261,名詞,花身雞魚、斑午魚。魚類。外型特徵為背鰭硬棘及軟條間有深刻，背鰭棘部有一大型黑斑，尾鰭上下有斜走之黑色條紋，體側有三條成弓狀之黑色縱帶，為本省沿岸漁業中重要經濟魚種之一。
4439,6262,名詞,花盆。
4440,6263,名詞,香味。芳香的氣味。
4441,6265,名詞,表示同意或贊成的意思。
4442,6266,名詞,持有公司股份的人。
4443,6268,名詞,花的梗柄。
4443,6269,名詞,墨魚、烏賊。軟體動物，十隻腳，具有墨囊，在遇到敵人時，會噴出墨汁而逃跑。以貝類、甲殼類為食，是重要的經濟海產物。
4444,6270,名詞,病名。由細菌、病毒感染所引起肺臟發炎的病症，會出現發燒、發冷、咳嗽、喀痰和呼吸困難等症狀。
4445,6271,名詞,花瓶。
4449,6275,名詞,肩膀。
4450,6276,名詞,肩膀。
4450,6277,名詞,需要承擔的責任。
4451,6278,名詞,芥末。用芥菜子研磨成黃色細末，味道辛辣，也會有嗆鼻的情況，常作為調味料。這和用山葵磨成的ua-sá-bih不同，ua-sá-bih是綠色的，但是華語都叫芥末。
4452,6279,名詞,蓓蕾。含苞未開的花朵。
4453,6280,名詞,香料。含有香味的配料。
4454,6281,名詞,花苗、花栽子。
4455,6282,名詞,香粉。女性用來抹臉的化妝品。
4456,6283,名詞,花樣、花紋圖案。
4456,6284,名詞,花與草的合稱。
4458,6286,名詞,鬆緊帶。一種能伸縮的帶子，裡面加有類似橡皮筋等彈性的東西，使帶子能拉長又能縮回原樣。多用來做襪帶、褲帶等。
4459,6287,名詞,供插花的瓶子。
4459,6288,名詞,用來指稱裝扮漂亮，卻不具實際工作能力的人。
4460,6289,名詞,股份公司用來表示股東股權的證券。
4461,6290,名詞,香菜、胡荽。草本植物。莖直立，中空有條紋，葉為羽狀複葉，細裂有鋸齒，氣味強烈。除食用外，也可做為調味或入藥。
4464,6293,名詞,葉菜類。葉柄肥厚，葉片皺摺，葉緣有齒狀的凹陷。莖、葉、種子都可以食用。
4465,6294,名詞,花椰菜。葉菜類。莖硬而肥大，葉寬大，基部鈍形，邊緣呈波狀。花部成肉質塊狀，可供食用。
4467,6296,名詞,一種烹調方法。把肉下鍋，放進佐料爆香，再加入醬油、香料等調味，然後勾芡成濃汁，可以淋在麵等食物上，增添口感和風味。
4468,6297,名詞,氣管、支氣管。由喉頭到肺臟空氣出入的總管，是呼吸系統中的一個器官。
4469,6298,名詞,花圈。以鮮花或紙花紮成圓圈，用於誌慶或喪禮的弔唁。
4470,6299,名詞,瓷磚。一種質地細緻的磚。表面經塗釉處理，具有瓷器般的光澤。
4471,6300,名詞,為植物的生殖器官，花朵中心細鬚的部分。有雄蕊、雌蕊的分別。
4471,6301,名詞,花朵。
4473,6304,名詞,肩膀。
4474,6305,名詞,肺結核。病名。一種由結核桿菌所引起的慢性傳染病。病人容易疲憊，並有發燒、夜間盜汗、咳嗽、多痰等症狀，嚴重時會咯血。
4475,6306,名詞,用鮮花或人工花編成的圓環狀飾物，通常用在迎送親朋好友時，把花環套在被迎送者的身上，表示心中的敬意。
4476,6307,名詞,魚名。彈塗魚的一種，身體長而且側扁，全身暗褐色，有黑色小點。生活在淺海和河口附近，常藉著胸鰭和身體的彈力跳躍和爬行。
4477,6308,名詞,芥藍菜。葉菜類。高二十至六十公分，葉叢生於莖頂，葉柄長，葉形上尖下圓，花為白色或黃色，嫩葉可供食用，富含鈣、磷及鐵質。
4478,6309,名詞,舊時結婚時新娘子所乘坐的大紅轎子。
4479,6310,名詞,用花作裝飾的籃子。一般用來裝飾儀式場地。
4480,6311,名詞,花株。
4481,6312,名詞,植物初生的幼苗。
4482,6313,名詞,老虎。哺乳動物。貓科。全身黃褐色，具黑色條紋。性凶猛。於夜間狩獵，以鹿、羊、豬等為食。
4482,6314,名詞,指像老虎一般凶猛、可怕的人。含有貶義。
4484,6318,名詞,指事物外在的一面。
4484,6319,名詞,指姑母、舅舅、姨母方面的親戚。
4484,6320,名詞,榜樣、模範。
4485,6323,名詞,分格或分項以列記事物的文件。
4485,6324,名詞,古代臣子呈給帝王的一種奏章。
4490,6331,名詞,礦物名。金屬元素之一，質地柔軟，延展性極大，可與銀、銅等合金製成貨幣或是裝飾品。由於色澤黃澄，俗稱為黃金。
4490,6332,名詞,金屬道具材料的通稱。
4490,6333,名詞,年節、廟會等祭祀活動時為了祭拜神佛所特地準備的一種貼有金箔的粗紙，燒之以奉獻給神祇。
4490,6337,名詞,錢。
4492,6341,名詞,單位團體的主管或是領導人。
4494,6344,名詞,建築物或車、船等可以開關的出入口，也指設於出入口能關閉的裝置。用於較文言的詞彙。
4494,6345,名詞,家族、門第。
4494,6346,名詞,宗派、學派。
4494,6347,名詞,人體身上的孔竅。
4494,6348,名詞,類別。
4495,6349,名詞,建築物或車、船等可以開關的出入口，也指設於出入口能關閉的裝置。
4495,6350,名詞,形狀或作用像門的物體。
4497,6353,名詞,空氣中的水蒸氣遇冷凝結而降落的水滴。
4498,6354,名詞,空氣中的水蒸氣遇冷凝結而降落的水滴。
4499,6355,名詞,顏色名。指綠色。
4500,6356,名詞,顏色名。指藍色。
4500,6357,名詞,指竹子的外皮。
4501,6359,名詞,長袖。
4502,6360,名詞,出產黃金的山。
4503,6361,名詞,長期被傭僱的工人。
4504,6362,名詞,大門入口。
4505,6363,名詞,稱謂。泛稱姑丈或姨丈。
4506,6364,名詞,表弟。稱謂。用來稱呼姑媽、姨媽、舅舅的兒子，而且年紀比自己小的。
4507,6365,名詞,表妹。稱謂。用來稱呼姑媽、姨媽、舅舅的女兒，而且年紀比自己還小的。
4508,6366,名詞,爺爺、祖父。稱謂。稱呼父親的父親。
4508,6367,名詞,外公。稱謂。稱呼母親的父親。
4508,6368,名詞,老公公、老爺爺。稱呼年老的男性長輩。
4509,6369,名詞,鳳頭潛鴨、澤鳧。禽鳥類。身長約四十公分，體型屬於中、小型，身體特徵有清晰的黑白兩色對比，頭頂羽冠明顯。
4509,6370,名詞,指不倒翁玩具。
4511,6372,名詞,骨罈、骨灰罈。用來盛裝死者骨灰或骨頭的容器。
4512,6373,名詞,房屋或其他建築物的出入口。
4512,6374,名詞,家庭的地位。
4512,6375,名詞,指國家或地方的出入口。多指海港或空港。
4512,6376,名詞,派系、派別。
4513,6377,名詞,門框。
4515,6379,名詞,空氣中的水蒸氣遇冷凝結而降落的水滴。
4516,6380,名詞,毛毛雨。
4517,6381,名詞,骨罈、骨灰罈。用來盛裝死者骨灰或骨頭的容器。
4518,6382,名詞,表哥。稱謂。用來稱呼姑母、舅父、姨母的兒子，而且年紀比自己大的。
4519,6383,名詞,黃金、金子。一種貴重金屬，因為呈現金黃色光澤而得名。延展性強，化學性穩定，可用於電力、太空等工業，也可用來製造貨幣、首飾等。
4520,6384,名詞,哥哥。稱謂。同父母所生而年紀比自己大的男性。
4521,6385,名詞,稱謂。用來稱呼姑媽、舅舅、姨媽的兒子，年紀比自己大的稱為「表兄」，比自己小的稱為「表小弟」。
4522,6386,名詞,銀樓。製售金銀珠寶首飾的商店。
4523,6387,名詞,用來展示公司貨品或是做零售生意的店面。
4524,6388,名詞,稱謂。媽媽、母親，通常用來當作「面稱」的詞彙。
4526,6390,名詞,老虎的皮。
4528,6392,名詞,南瓜。瓜果類。果實為扁圓或長圓形， 有黃、綠、或紅色等，可以食用。種子另有驅蟲的效用。
