詞目id,詞目類型,漢字,羅馬字,分類
27311,主詞目,雖罔,sui-bóng,連詞、介詞
27314,主詞目,合仔趁,ha̍p-á-thàn,財務單位、活動
27315,主詞目,孫新婦,sun-sin-pū,稱謂輩分
27316,主詞目,末趁,bua̍t-thàn,財務單位、活動
27317,主詞目,大妗喙,tuā-kīm-tshuì,境況、狀態-擬人
27318,主詞目,著囝甘,tio̍h-kiánn-kam,心理活動
27319,主詞目,輪火鬮,lûn-hué-khau/lûn-hé-khau,生活狀況
27320,主詞目,平棒,pênn-pāng/pînn-pāng,"心理狀態,形貌、體積"
27321,主詞目,四伨,sì-thīn,"兩性、婚姻,形貌、體積"
27322,主詞目,擋恬,tòng-tiām,交通、運輸
27323,主詞目,死無人,sí-bô-lâng,副詞
27324,主詞目,躼跤蠓,lò-kha-báng,"昆蟲類,體態樣貌"
27325,主詞目,銃藥,tshìng-io̍h,軍事
27326,主詞目,過冬鳥,kuè-tang-tsiáu/kè-tang-tsiáu,禽類
27327,主詞目,細姑仔,sè-koo-á/suè-koo-á,稱謂輩分
27328,主詞目,新娘花,sin-niû-hue,"花草樹木,婚喪喜慶"
27329,主詞目,傍官靠勢,pn̄g-kuann-khò-sè/pn̄g-kuann-khò-sì,"道德評價,一般動詞-行為動詞"
27330,主詞目,掩來扯去,am-lâi-tshé-khì,一般動詞-行為動詞
27331,主詞目,採花蜂,tshái-hue-phang,泛稱
27332,主詞目,捲螺仔水,kńg-lê-á-tsuí,自然現象
27333,主詞目,徛馬勢,khiā-bé-sè/khiā-bé-sì,體育、運動
27334,主詞目,做木的,tsò-ba̍k--ê/tsuè-ba̍k--ê,科技、工業
27335,主詞目,起番,khí-huan,反應、表情
27336,主詞目,放外外,pàng-guā-guā,氣質態度
27337,主詞目,加圇,ka-nn̂g,性質、程度
27338,主詞目,上童,tsiūnn-tâng,相關器具、活動
27339,主詞目,娘仔豆,niû-á-tāu,動物形體、行為
27340,主詞目,塑膠橐仔,sok-ka-lok-á,生活用品
27342,主詞目,珠仔釘,tsu-á-ting,縫紉洗熨
27370,主詞目,相接,sio-tsiap,一般動詞-行為動詞
27372,主詞目,號令,hō-līng,一般動詞-行為動詞
27376,主詞目,暗摸摸,àm-bong-bong,顏色、氣味
27377,主詞目,才閣,tsiah-koh,副詞
27379,主詞目,出代誌,tshut-tāi-tsì,一般動詞-活動動詞
27381,主詞目,險仔,hiám-á,副詞
27382,主詞目,絞螺仔風,ká-lê-á-hong,自然現象
27384,主詞目,出外人,tshut-guā-lâng,相關用語
27385,主詞目,塗窯,thôo-iô,飲食物具
27386,主詞目,錢水,tsînn-tsuí,錢財資產
27387,主詞目,菜股,tshài-kóo,農林業
27388,主詞目,假做,ké-tsò/ké-tsuè,一般動詞-靜態動詞
27390,主詞目,牛奶粉,gû-ling-hún/gû-ni-hún,食物、飲料、煙酒
27393,主詞目,單仔,tuann-á,生活用品
27395,主詞目,上陸,tsiūnn-lio̍k,一般動詞-行為動詞
27397,主詞目,止飢,tsí-ki,一般動詞-行為動詞
27399,主詞目,成樣,tsiânn-iūnn,境況、狀態-擬人
27404,主詞目,痴哥草,tshi-ko-tsháu,花草樹木
27405,主詞目,勇壯,ióng-tsòng,境況、狀態-擬人
27406,主詞目,摒盪,piànn-tn̄g,生活勞動
27407,主詞目,老長壽,lāu-tiông-siū,泛稱
27408,主詞目,流擺,lâu-pái,事、物泛稱
27409,主詞目,龜仔,ku-á,昆蟲類
27411,主詞目,敗欉,pāi-tsâng,植物形體、狀態
27412,主詞目,健欉,kiānn-tsâng,植物形體、狀態
27415,主詞目,跤尾錢,kha-bué-tsînn/kha-bé-tsînn,相關器具、活動
27416,主詞目,香跤,hiunn-kha,相關器具、活動
27417,主詞目,放雨白,pàng-hōo-pe̍h,自然現象
27418,主詞目,尻川後話,kha-tshng-āu-uē,語言、文字、符號
27420,主詞目,圓棍棍,înn-kùn-kùn,形貌、體積
27423,主詞目,芳貢貢,phang-kòng-kòng,顏色、氣味
27424,主詞目,圓輾輾,înn-liàn-liàn,性質、程度
27434,主詞目,業命,gia̍p-miā,生活狀況
27435,主詞目,巷路,hāng-lōo,道路、橋梁
27436,主詞目,三不等,sam-put-tíng,性質、程度
27437,主詞目,女中,lí-tiong/lú-tiong,"服務業及其他,教育、學術"
27438,主詞目,目神,ba̍k-sîn,反應、表情
27439,主詞目,孤毛,koo-moo/koo-môo,個性風格
27441,主詞目,孔明燈,khóng-bîng-ting,相關器具、活動
27444,主詞目,相疼痛,sio-thiànn-thàng,一般動詞-行為動詞
27447,主詞目,有範,ū-pān,境況、狀態-擬人
27448,主詞目,花仔和尚,hue-á-huê-siūnn,禽類
27451,主詞目,喙焦喉渴,tshuì-ta-âu-khuah,反應、表情
27452,主詞目,食死死,tsia̍h-sí-sí,一般動詞-行為動詞
27455,主詞目,蔥仔珠,tshang-á-tsu,食物、飲料、煙酒
27456,主詞目,出來去,tshut-lâi-khì,一般動詞-行為動詞
27457,主詞目,嚨喉管,nâ-âu-kńg,生理構造
27458,主詞目,在室男,tsāi-sik-lâm,泛稱
27459,主詞目,大水蟻,tuā-tsuí-hiā,昆蟲類
27460,主詞目,受教,siū-kàu,一般動詞-行為動詞
27461,主詞目,心肝穎仔,sim-kuann-ínn-á,心理狀態
27465,主詞目,爍爍顫,sih-sih-tsùn,肢體動作
27466,主詞目,破糊糊,phuà-kôo-kôo,形貌、體積
27468,主詞目,水蛆,tsuí-tshi/tsuí-tshu,"昆蟲類,其他動物"
27469,主詞目,牌匾,pâi-pián,生活用品
27470,主詞目,七爺八爺,Tshit-iâ Peh-iâ/Tshit-iâ Pueh-iâ,神明、鬼怪、教派
27471,主詞目,跳懸,thiàu-kuân,體育、運動
27472,主詞目,茶湯,tê-thng,食物、飲料、煙酒
27473,主詞目,烏水溝,Oo-tsuí-kau,
27475,主詞目,新劇,sin-kio̍k,戲劇、音樂
27477,主詞目,媽孫仔,má-sun-á,稱謂輩分
27478,主詞目,芳雪文,phang-sap-bûn,生活用品
27480,主詞目,龍銀,liông-gîn/lîng-gûn,錢財資產
27481,主詞目,內角,lāi-kak,"空間方位,教育、學術"
27482,主詞目,激頭腦,kik-thâu-náu,一般動詞-活動動詞
27486,主詞目,佛祖生,Pu̍t-tsóo-senn/Pu̍t-tsóo-sinn,相關器具、活動
27487,主詞目,雨傘樹,hōo-suànn-tshiū,花草樹木
27489,主詞目,望冬,bāng-tang,禽類
27490,主詞目,鼓箸,kóo-tī/kóo-tū,生活用品
27491,主詞目,三時有陣,sam-sî-iú-tsūn,時間節令
27492,主詞目,孤棚,koo-pênn/koo-pînn,相關器具、活動
27493,主詞目,上腳,tsiūnn-kioh,才智能力
27496,主詞目,牽教,khan-kà,一般動詞-行為動詞
27497,主詞目,犒軍,khò-kun,"相關器具、活動,軍事"
27498,主詞目,九降風,káu-kàng-hong,自然現象
27499,主詞目,國姓爺,Kok-sìng-iâ,
27501,主詞目,觸鈕仔,tak-liú-á,衣帽鞋襪
27503,主詞目,變撚,piàn-lián,"才智能力,事、物泛稱"
27506,主詞目,辟邪,phik-siâ,相關器具、活動
27512,主詞目,百歲年老,pah-huè-nî-lāu/pah-hè-nî-lāu,一般動詞-靜態動詞
27514,主詞目,規山坪,kui-suann-phiânn,空間方位
27519,主詞目,講通和,kóng-thong-hô,"交際應酬,待人處事"
27520,主詞目,貫捾,kǹg-kuānn,相關器具、活動
27521,主詞目,光炎炎,kng-iām-iām,性質、程度
27524,主詞目,光映映,kng-iànn-iànn,性質、程度
27526,主詞目,熱翕翕,jua̍h-hip-hip/lua̍h-hip-hip,性質、程度
27528,主詞目,好狗運,hó-káu-ūn,境況、狀態-擬人
27529,主詞目,魚漿,hî-tsiunn/hû-tsiunn,食物、飲料、煙酒
27530,主詞目,合味,ha̍h-bī,顏色、氣味
27533,主詞目,無命,bô-miā,一般動詞-靜態動詞
27535,主詞目,無價,bô-kè,性質、程度
27536,主詞目,青苔仔,tshenn-tî-á/tshinn-tî-á,禽類
27540,主詞目,頭喙,thâu-tshuì,宗族、家庭
27544,主詞目,暗報,àm-pò,生活用品
27546,主詞目,燒燙燙,sio-thǹg-thǹg,性質、程度
27548,主詞目,相疊,sio-tha̍h,一般動詞-行為動詞
27549,主詞目,消磨,siau-môo,一般動詞-靜態動詞
27550,主詞目,楓仔葉,png-á-hio̍h,植物形體、狀態
27553,主詞目,烏寒,oo-kuânn,境況、狀態-擬物
27557,主詞目,鰻仔栽,muâ-á-tsai,魚蝦海獸
27560,主詞目,洛神花,lo̍k-sîn-hue,"花草樹木,植物形體、狀態"
27561,主詞目,硞硞,kho̍k-kho̍k,副詞
27562,主詞目,出日,tshut-ji̍t,自然現象
27563,主詞目,冰櫥,ping-tû,生活用品
27564,主詞目,運搬,ūn-puann,一般動詞-行為動詞
27566,主詞目,盤山過嶺,puânn-suann-kuè-niá/puânn-suann-kè-niá,一般動詞-行為動詞
27568,主詞目,磚仔角,tsng-á-kak,建築物、結構
27570,主詞目,僭權,tsiàm-khuân,一般動詞-行為動詞
27571,主詞目,七里香,tshit-lí-hiong,花草樹木
27574,主詞目,千拄千,tshian-tú-tshian,副詞
27575,主詞目,青蘢蘢,tshenn-lìng-lìng/tshinn-lìng-lìng,顏色、氣味
27576,主詞目,臭腥龜仔,tshàu-tshènn-ku-á/tshàu-tshìnn-ku-á,昆蟲類
27577,主詞目,相袚,sio-phua̍h,"才智能力,形貌、體積"
27579,主詞目,山尖,suann-tsiam,空間方位
27585,主詞目,歹囝症,pháinn-kiánn-tsìng,傷疾病痛
27586,主詞目,毛繐,mn̂g-sui,生理構造
27590,主詞目,正中晝,tsiànn-tiong-tàu,時間節令
27592,主詞目,生理虎,sing-lí-hóo,"泛稱,商業"
27595,主詞目,白死殺,pe̍h-sí-sat,"反應、表情,顏色、氣味"
27597,主詞目,奸臣仔笑,kan-sîn-á-tshiò,反應、表情
27598,主詞目,坐罪,tsē-tsuē,法律
27600,主詞目,拆箬,thiah-ha̍h,自然現象
27602,主詞目,芹菜珠,khîn-tshài-tsu/khûn-tshài-tsu,食物、飲料、煙酒
27605,主詞目,苦無,khóo-bô,一般動詞-靜態動詞
27607,主詞目,風幔,hong-mua,衣帽鞋襪
27608,主詞目,㾀屎,khiap-sái,個性風格
27609,主詞目,倒匼,tò-khap,一般動詞-行為動詞
27614,主詞目,借字,tsioh-jī/tsioh-lī,錢財資產
27618,主詞目,烏汁汁,oo-tsiap-tsiap,顏色、氣味
27620,主詞目,烏麻仔,oo-muâ-á,食物、飲料、煙酒
27622,主詞目,眠眠,bîn-bîn,境況、狀態-擬人
27625,主詞目,臭老羶,tshàu-lāu-hiàn,顏色、氣味
27626,主詞目,肚臍空,tōo-tsâi-khang,生理構造
27628,主詞目,綴手,tuè-tshiú/tè-tshiú,副詞
27629,主詞目,理路,lí-lōo,境況、狀態-擬事
27630,主詞目,蓮蕉,liân-tsiau,蔬果作物
27631,主詞目,激皮皮,kik-phî-phî,"反應、表情,氣質態度"
27632,主詞目,激槌槌,kik-thuî-thuî,"反應、表情,氣質態度"
27633,主詞目,霜仔,sng-á,食物、飲料、煙酒
27636,主詞目,萬年久遠,bān-nî-kiú-uán,性質、程度
27637,主詞目,欲死,beh-sí/bueh-sí,"反應、表情,境況、狀態-擬人,一般動詞-靜態動詞"
27638,主詞目,海水倒激,hái-tsuí tò-kik,自然現象
27639,主詞目,好料的,hó-liāu--ê,"食物、飲料、煙酒,事、物泛稱"
27645,主詞目,勇跤,ióng-kha,"服務業及其他,體態樣貌"
27647,主詞目,韌布布,jūn-pòo-pòo/lūn-pòo-pòo,境況、狀態-擬物
27649,主詞目,徛騰騰,khiā-thîng-thîng,一般動詞-行為動詞
27651,主詞目,徛叉仔,khiā-tshe-á,語言、文字、符號
27661,主詞目,苦湯,khóo-thng,事、物泛稱
27756,主詞目,起去,khí-khì,一般動詞-行為動詞
27758,主詞目,釉,iu,形貌、體積
28018,主詞目,耕莘安康院區,King-sin An-khong Īnn-khu,安坑輕軌
3522,單字不成詞者,事,tāi,事、物泛稱
9990,單字不成詞者,蜊,lâ,"魚蝦海獸,醫療保健,食物、飲料、煙酒"
11386,單字不成詞者,賞,sióng,
12251,單字不成詞者,總,tsáng,事、物泛稱
14613,單字不成詞者,乜,mí,
14614,單字不成詞者,刁,thiau,
14615,單字不成詞者,力,lí,
14616,單字不成詞者,丈,tiōng,
14617,單字不成詞者,丈,tiūnn,
14618,單字不成詞者,三,sàm,
14619,單字不成詞者,上,sióng,
14620,單字不成詞者,上,siāng,
14621,單字不成詞者,下,e,
14622,單字不成詞者,久,kiú,
14623,單字不成詞者,口,káu,
14624,單字不成詞者,口,khió,
14625,單字不成詞者,夕,sia̍h,
14626,單字不成詞者,夕,si̍k,
14627,單字不成詞者,川,tshng,
14628,單字不成詞者,川,tshuan,
14629,單字不成詞者,工,khang,
14630,單字不成詞者,己,kī,
14631,單字不成詞者,已,í,
14632,單字不成詞者,巳,sū,
14633,單字不成詞者,弓,kiong,
14634,單字不成詞者,不,puh,
14635,單字不成詞者,云,ûn,
14636,單字不成詞者,互,hōo,
14637,單字不成詞者,井,tsíng,
14638,單字不成詞者,仇,kiû,
14639,單字不成詞者,今,kim,
14640,單字不成詞者,今,kin,
14641,單字不成詞者,介,kài,
14642,單字不成詞者,元,guân,
14643,單字不成詞者,分,hūn,
14644,單字不成詞者,切,tshè,
14645,單字不成詞者,勿,bu̍t,
14646,單字不成詞者,及,ki̍p,
14647,單字不成詞者,夭,iáu,
14648,單字不成詞者,孔,kháng,
14649,單字不成詞者,孔,khóng,
14650,單字不成詞者,少,siáu,
14651,單字不成詞者,少,siàu,
14652,單字不成詞者,尺,tshik,
14653,單字不成詞者,屯,tūn,
14654,單字不成詞者,巴,pa,
14655,單字不成詞者,幻,huàn,
14656,單字不成詞者,弔,tiàu,
14657,單字不成詞者,手,siú,
14658,單字不成詞者,扎,tsah,
14659,單字不成詞者,支,tsi,
14660,單字不成詞者,斗,tóo,
14661,單字不成詞者,方,png,
14662,單字不成詞者,曰,ua̍t,
14663,單字不成詞者,歹,tái,
14664,單字不成詞者,毛,moo,
14665,單字不成詞者,火,hónn,
14666,單字不成詞者,爻,ngâu,
14667,單字不成詞者,片,phiàn,
14668,單字不成詞者,牛,giû,
14669,單字不成詞者,犬,khián,
14670,單字不成詞者,且,tshiánn,
14671,單字不成詞者,丘,khiu,
14672,單字不成詞者,丘,khu,
14673,單字不成詞者,丙,píng,
14674,單字不成詞者,乏,hua̍t,
14675,單字不成詞者,仔,tsú,
14676,單字不成詞者,他,thann,
14677,單字不成詞者,仗,tiōng,
14678,單字不成詞者,仟,tshian,
14679,單字不成詞者,代,tài,
14680,單字不成詞者,兄,hing,
14681,單字不成詞者,充,tshiong,
14682,單字不成詞者,冬,tong,
14683,單字不成詞者,凹,neh,
14684,單字不成詞者,功,kang,
14685,單字不成詞者,包,pâu,
14686,單字不成詞者,匆,tshong,
14687,單字不成詞者,北,pok,
14688,單字不成詞者,占,tsiam,
14689,單字不成詞者,另,līng,
14690,單字不成詞者,叩,khiò,
14691,單字不成詞者,召,tiàu,
14692,單字不成詞者,叭,pah,
14693,單字不成詞者,可,khuá,
14694,單字不成詞者,可,khóo,
14695,單字不成詞者,史,sái,
14696,單字不成詞者,史,sú,
14697,單字不成詞者,右,iū,
14698,單字不成詞者,司,sai,
14699,單字不成詞者,司,si,
14700,單字不成詞者,司,su,
14701,單字不成詞者,外,guē,
14702,單字不成詞者,央,iong,
14703,單字不成詞者,央,ng,
14704,單字不成詞者,孕,īn,
14705,單字不成詞者,尻,kha,
14706,單字不成詞者,尼,nî/lî,
14707,單字不成詞者,左,tsó,
14708,單字不成詞者,巧,kháu,
14709,單字不成詞者,巨,kī/kū,
14710,單字不成詞者,弘,hông,
14711,單字不成詞者,必,pit,
14712,單字不成詞者,扑,phok,
14713,單字不成詞者,打,tá,
14714,單字不成詞者,斥,thik,
14715,單字不成詞者,旦,tàn,
14716,單字不成詞者,末,bua̍h,
14717,單字不成詞者,末,bua̍t,
14718,單字不成詞者,本,pńg,
14719,單字不成詞者,札,tsat,
14720,單字不成詞者,正,tsiann,
14721,單字不成詞者,永,íng,
14722,單字不成詞者,玄,hiân,
14723,單字不成詞者,瓜,kua,
14724,單字不成詞者,瓦,uá,
14725,單字不成詞者,田,tiân,
14726,單字不成詞者,甲,kap,
14727,單字不成詞者,皮,pî,
14728,單字不成詞者,矛,mâu,
14729,單字不成詞者,矛,môo,
14730,單字不成詞者,矢,sí,
14731,單字不成詞者,石,sia̍h,
14732,單字不成詞者,禾,hô,
14733,單字不成詞者,丟,tiu,
14734,單字不成詞者,乩,ki,
14735,單字不成詞者,仰,gióng,
14736,單字不成詞者,仰,ióng,
14737,單字不成詞者,仲,tiōng,
14738,單字不成詞者,仵,ngóo,
14739,單字不成詞者,任,jîm/lîm,
14740,單字不成詞者,企,khì,
14741,單字不成詞者,伍,ngóo,
14742,單字不成詞者,伏,ho̍k,
14743,單字不成詞者,伐,hua̍t,
14744,單字不成詞者,伙,hué/hé,
14745,單字不成詞者,兇,hiong,
14746,單字不成詞者,先,sin,
14747,單字不成詞者,全,tsn̂g,
14748,單字不成詞者,劣,lua̍t,
14749,單字不成詞者,危,guî,
14750,單字不成詞者,危,uî,
14751,單字不成詞者,各,koh,
14752,單字不成詞者,各,kok,
14753,單字不成詞者,合,kah,
14754,單字不成詞者,吉,jì,
14755,單字不成詞者,吋,tshùn,
14756,單字不成詞者,同,tâng,
14757,單字不成詞者,后,āu,
14758,單字不成詞者,后,hiō,
14759,單字不成詞者,后,hōo,
14760,單字不成詞者,吏,lī,
14761,單字不成詞者,向,hiàng,
14762,單字不成詞者,囡,gín,
14763,單字不成詞者,圭,kui,
14764,單字不成詞者,地,tè,
14765,單字不成詞者,地,tī,
14766,單字不成詞者,夷,î,
14767,單字不成詞者,妄,bōng,
14768,單字不成詞者,存,tshûn,
14769,單字不成詞者,宅,thi̍k,
14770,單字不成詞者,宇,ú,
14771,單字不成詞者,安,uann,
14772,單字不成詞者,式,sik,
14773,單字不成詞者,式,sit,
14774,單字不成詞者,忖,tshún,
14775,單字不成詞者,忙,bâng,
14776,單字不成詞者,忙,bông,
14777,單字不成詞者,扛,kong,
14778,單字不成詞者,旨,tsí,
14779,單字不成詞者,早,tsái,
14780,單字不成詞者,旬,sûn,
14781,單字不成詞者,旭,hiok,
14782,單字不成詞者,曲,khiok,
14783,單字不成詞者,朴,phoh,
14784,單字不成詞者,朽,hiú,
14785,單字不成詞者,汗,hān,
14786,單字不成詞者,汙,u,
14787,單字不成詞者,汙,ù,
14788,單字不成詞者,灰,hue,
14789,單字不成詞者,百,peh,
14790,單字不成詞者,百,pik,
14791,單字不成詞者,竹,tiok,
14792,單字不成詞者,羊,iông,
14793,單字不成詞者,羽,ú,
14794,單字不成詞者,老,ló,
14795,單字不成詞者,老,nóo,
14796,單字不成詞者,而,jî/lî,
14797,單字不成詞者,肉,hi̍k,
14798,單字不成詞者,肋,li̍k,
14799,單字不成詞者,肌,ki,
14800,單字不成詞者,至,tsì,
14801,單字不成詞者,臼,khū,
14802,單字不成詞者,舌,sia̍t,
14803,單字不成詞者,舟,tsiu,
14804,單字不成詞者,行,hîng,
14805,單字不成詞者,行,lîng,
14806,單字不成詞者,西,si,
14807,單字不成詞者,亨,hing,
14808,單字不成詞者,伯,pik,
14809,單字不成詞者,伯,pit,
14810,單字不成詞者,伯,phik,
14811,單字不成詞者,伴,phuān,
14812,單字不成詞者,伶,líng,
14813,單字不成詞者,似,sāi,
14814,單字不成詞者,佃,tiān,
14815,單字不成詞者,但,tān,
14816,單字不成詞者,但,nā,
14817,單字不成詞者,住,tsū,
14818,單字不成詞者,佐,tsò,
14819,單字不成詞者,佑,iū,
14820,單字不成詞者,何,uâ,
14821,單字不成詞者,冶,iá,
14822,單字不成詞者,刪,san,
14823,單字不成詞者,努,lóo,
14824,單字不成詞者,即,tsik,
14825,單字不成詞者,卵,luán,
14826,單字不成詞者,吝,līn,
14827,單字不成詞者,吠,huī,
14828,單字不成詞者,否,hónn,
14829,單字不成詞者,否,phí,
14830,單字不成詞者,吩,huan,
14831,單字不成詞者,吩,hun,
14832,單字不成詞者,含,hâm,
14833,單字不成詞者,吳,ngôo,
14834,單字不成詞者,吵,tsháu,
14835,單字不成詞者,吹,tshui,
14836,單字不成詞者,吻,bún,
14837,單字不成詞者,吾,ngôo,
14838,單字不成詞者,呂,lī/lū,
14839,單字不成詞者,呂,lū,
14840,單字不成詞者,呈,thîng,
14841,單字不成詞者,困,khùn,
14842,單字不成詞者,圾,sap,
14843,單字不成詞者,址,tsí,
14844,單字不成詞者,均,kin/kun,
14845,單字不成詞者,坊,hng,
14846,單字不成詞者,坊,hong,
14847,單字不成詞者,坐,tsō,
14848,單字不成詞者,坑,khing,
14849,單字不成詞者,壯,tsòng,
14850,單字不成詞者,妍,gián,
14851,單字不成詞者,妒,tòo,
14852,單字不成詞者,妓,ki,
14853,單字不成詞者,妥,thò,
14854,單字不成詞者,妨,hông,
14855,單字不成詞者,孜,tsu,
14856,單字不成詞者,孝,hà,
14857,單字不成詞者,宏,hông,
14858,單字不成詞者,希,hi,
14859,單字不成詞者,庇,pì,
14860,單字不成詞者,床,tshông,
14861,單字不成詞者,序,sī,
14862,單字不成詞者,序,sī,
14863,單字不成詞者,廷,tîng,
14864,單字不成詞者,弄,lōng,
14865,單字不成詞者,彷,hóng,
14866,單字不成詞者,役,i̍k,
14867,單字不成詞者,忌,kī,
14868,單字不成詞者,忤,ngóo,
14869,單字不成詞者,快,khuìnn,
14870,單字不成詞者,戒,kài,
14871,單字不成詞者,扭,liú,
14872,單字不成詞者,批,phi,
14873,單字不成詞者,扼,i̍k,
14874,單字不成詞者,把,pá,
14875,單字不成詞者,把,pà,
14876,單字不成詞者,抗,khòng,
14877,單字不成詞者,折,tsik,
14878,單字不成詞者,更,king,
14879,單字不成詞者,更,kìng,
14880,單字不成詞者,杆,kan,
14881,單字不成詞者,杉,sam,
14882,單字不成詞者,杖,tiōng,
14883,單字不成詞者,杖,thn̄g,
14884,單字不成詞者,杜,tōo,
14885,單字不成詞者,杞,kí,
14886,單字不成詞者,決,kuat,
14887,單字不成詞者,汽,khì,
14888,單字不成詞者,沈,sím,
14889,單字不成詞者,沌,tūn,
14890,單字不成詞者,沐,bo̍k,
14891,單字不成詞者,沒,bu̍t,
14892,單字不成詞者,沙,sa,
14893,單字不成詞者,沙,se,
14894,單字不成詞者,沛,phài,
14895,單字不成詞者,沢,tshioh,
14896,單字不成詞者,灶,tsò,
14897,單字不成詞者,灸,kù,
14898,單字不成詞者,牡,bóo,
14899,單字不成詞者,牢,lô,
14900,單字不成詞者,甫,hú,
14901,單字不成詞者,町,ting,
14902,單字不成詞者,禿,thuh,
14903,單字不成詞者,禿,thut,
14904,單字不成詞者,秀,siù,
14905,單字不成詞者,私,sai,
14906,單字不成詞者,私,si,
14907,單字不成詞者,究,kiù,
14908,單字不成詞者,肓,bông,
14909,單字不成詞者,肖,siàu,
14910,單字不成詞者,肘,tiú,
14911,單字不成詞者,肛,kong,
14912,單字不成詞者,育,io̍k,
14913,單字不成詞者,良,liông,
14914,單字不成詞者,芋,ū,
14915,單字不成詞者,芍,tsiok,
14916,單字不成詞者,芎,kiong,
14917,單字不成詞者,芒,bâng,
14918,單字不成詞者,芒,bông,
14919,單字不成詞者,谷,kok,
14920,單字不成詞者,豸,thuā,
14921,單字不成詞者,貝,puè,
14922,單字不成詞者,赤,tshik,
14923,單字不成詞者,走,tsóo,
14924,單字不成詞者,車,ki/ku,
14925,單字不成詞者,迅,sìn,
14926,單字不成詞者,邑,ip,
14927,單字不成詞者,邦,pang,
14928,單字不成詞者,阮,ńg,
14929,單字不成詞者,乳,jú/lú,
14930,單字不成詞者,亞,a,
14931,單字不成詞者,享,hiáng,
14932,單字不成詞者,享,hióng,
14933,單字不成詞者,京,kiann,
14934,單字不成詞者,京,king,
14935,單字不成詞者,佩,phuè,
14936,單字不成詞者,佩,puē,
14937,單字不成詞者,佬,ló,
14938,單字不成詞者,佳,ka,
14939,單字不成詞者,併,pìng,
14940,單字不成詞者,使,sài,
14941,單字不成詞者,使,sù,
14942,單字不成詞者,侍,sāi,
14943,單字不成詞者,侍,sū,
14944,單字不成詞者,侗,tòng,
14945,單字不成詞者,供,kiong,
14946,單字不成詞者,依,i,
14947,單字不成詞者,兒,jî/lî,
14948,單字不成詞者,具,kū,
14949,單字不成詞者,函,hâm,
14950,單字不成詞者,刮,kuat,
14951,單字不成詞者,到,tàu,
14952,單字不成詞者,到,tò,
14953,單字不成詞者,刷,suat,
14954,單字不成詞者,卑,pi,
14955,單字不成詞者,卓,toh,
14956,單字不成詞者,卓,tok,
14957,單字不成詞者,協,ha̍h,
14958,單字不成詞者,協,hia̍p,
14959,單字不成詞者,卷,kǹg,
14960,單字不成詞者,叔,siok,
14961,單字不成詞者,呢,ne,
14962,單字不成詞者,呢,nî,
14963,單字不成詞者,呧,ti,
14964,單字不成詞者,周,tsiu,
14965,單字不成詞者,呱,kuā,
14966,單字不成詞者,呴,ku,
14967,單字不成詞者,呵,o,
14968,單字不成詞者,呻,sin,
14969,單字不成詞者,呼,honn,
14970,單字不成詞者,呿,khuh,
14971,單字不成詞者,和,hō,
14972,單字不成詞者,和,huê,
14973,單字不成詞者,咍,hai,
14974,單字不成詞者,咎,kiū,
14975,單字不成詞者,咐,hù,
14976,單字不成詞者,咖,ka,
14977,單字不成詞者,固,kòo,
14978,單字不成詞者,坡,pho,
14979,單字不成詞者,坤,khun,
14980,單字不成詞者,坦,thán,
14981,單字不成詞者,坪,phiânn,
14982,單字不成詞者,坪,phîng,
14983,單字不成詞者,坷,khia̍t,
14984,單字不成詞者,垃,lâ,
14985,單字不成詞者,垃,lah,
14986,單字不成詞者,奈,nāi,
14987,單字不成詞者,奈,ta,
14988,單字不成詞者,奉,hōng,
14989,單字不成詞者,奔,phun,
14990,單字不成詞者,妮,nî,
14991,單字不成詞者,妲,thán,
14992,單字不成詞者,始,sí,
14993,單字不成詞者,姐,tsiá,
14994,單字不成詞者,姒,sāi,
14995,單字不成詞者,委,uí,
14996,單字不成詞者,孟,bīng,
14997,單字不成詞者,宗,tsong,
14998,單字不成詞者,宙,tiū,
14999,單字不成詞者,宛,uán,
15000,單字不成詞者,宜,gî,
15001,單字不成詞者,尚,sióng,
15002,單字不成詞者,尚,siōng,
15003,單字不成詞者,尚,siūnn,
15004,單字不成詞者,屄,bai,
15005,單字不成詞者,居,ki/ku,
15006,單字不成詞者,居,ku,
15007,單字不成詞者,岡,kong,
15008,單字不成詞者,岩,gâm,
15009,單字不成詞者,岩,giâm,
15010,單字不成詞者,岳,ga̍k,
15011,單字不成詞者,岸,gān,
15012,單字不成詞者,帙,tia̍t,
15013,單字不成詞者,帚,tshiú,
15014,單字不成詞者,帛,pe̍h,
15015,單字不成詞者,帛,pi̍k,
15016,單字不成詞者,延,iân,
15017,單字不成詞者,弦,hiân,
15018,單字不成詞者,弧,hôo,
15019,單字不成詞者,彼,pí,
15020,單字不成詞者,彿,hut,
15021,單字不成詞者,征,tsing,
15022,單字不成詞者,忽,hut,
15023,單字不成詞者,忿,hún,
15024,單字不成詞者,怏,ǹg,
15025,單字不成詞者,怐,khòo,
15026,單字不成詞者,怕,phà,
15027,單字不成詞者,怖,pòo,
15028,單字不成詞者,怡,î,
15029,單字不成詞者,怦,phēnn,
15030,單字不成詞者,性,sènn/sìnn,
15031,單字不成詞者,怫,phut,
15032,單字不成詞者,怯,khiap,
15033,單字不成詞者,或,hi̍k,
15034,單字不成詞者,戾,lē,
15035,單字不成詞者,抱,phāu,
15036,單字不成詞者,抱,pō,
15037,單字不成詞者,抵,té,
