詞目id,詞目類型,漢字,羅馬字,分類
126,主詞目,人家,jîn-ke/lîn-ke,宗族、家庭
127,主詞目,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,建築物、結構
128,主詞目,八家將,pat-ka-tsiòng,神明、鬼怪、教派
129,主詞目,人格,jîn-keh/lîn-keh,道德評價
130,主詞目,人氣,jîn-khì/lîn-khì,交際應酬
131,主詞目,刀砧,to-tiam,"生活用品,飲食物具"
132,主詞目,人馬,jîn-má/lîn-má,組織團體
133,主詞目,入院,ji̍p-īnn/li̍p-īnn,醫療保健
134,主詞目,人參,jîn-sim/lîn-sim,"蔬果作物,醫療保健"
135,主詞目,人情,jîn-tsîng/lîn-tsîng,交際應酬
136,主詞目,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,交際應酬
137,主詞目,入教,ji̍p-kàu/li̍p-kàu,相關器具、活動
138,主詞目,人望,jîn-bōng/lîn-bōng,地位、身世、背景
139,主詞目,人造,jîn-tsō/lîn-tsō,性質、程度
140,主詞目,刀喙,to-tshuì,"傷疾病痛,生活用品"
141,主詞目,入場,ji̍p-tiûnn/li̍p-tiûnn,戲劇、音樂
142,主詞目,了然,liáu-jiân/liáu-liân,境況、狀態-擬事
143,主詞目,力量,li̍k-liōng,才智能力
144,主詞目,刁意故,thiau-ì-kòo,心理狀態
145,主詞目,七爺,Tshit-iâ,神明、鬼怪、教派
146,主詞目,刀銎,to-khing,生活用品
147,主詞目,又閣,iū-koh,副詞
148,主詞目,人影,lâng-iánn,泛稱
149,主詞目,九層塔,káu-tsàn-thah,"蔬果作物,食物、飲料、煙酒"
150,主詞目,人範,lâng-pān,道德評價
151,主詞目,人緣,lâng-iân,交際應酬
152,主詞目,入學,ji̍p-o̍h/li̍p-o̍h,教育、學術
153,主詞目,入選,ji̍p-suán/li̍p-suán,事、物泛稱
154,主詞目,了錢,liáu-tsînn,錢財資產
155,主詞目,人頭,lâng-thâu,"生理構造,交際應酬,數詞、量詞"
156,主詞目,力頭,la̍t-thâu,才智能力
157,主詞目,入殮,ji̍p-liām/li̍p-liām,"生養老死,婚喪喜慶"
158,主詞目,入聲,ji̍p-siann/li̍p-siann,語言、文字、符號
